event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not beg the parents.,"[""none""]","[""none"", ""temperamental"", ""awaiting"", ""happy""]","[""none""]","[""thoughtful"", ""patient"", ""disciplined"", ""proud""]","[""gets rewarded for patience"", ""is given a gift"", ""learns a lesson"", ""gains a reward from parents""]","[""to be independent"", ""to make his own money"", ""none"", ""pride""]","[""none"", ""to work hard"", ""to workout""]","[""proud"", ""independent"", ""uneasy"", ""confident"", ""deserved""]","[""ego person"", ""leave and change the mind"", ""to work for their money"", ""to beg their brother"", ""to eat healthy food"", ""to save money""]",tst,PersonX begs my parents
PersonX doesn't throw some bread,"[""none""]",[],"[""none""]","[""causious"", ""concerned"", ""protecting the ducks"", ""afraid of littering""]","[""none"", ""he is attack by doves"", ""he is bitten to death""]",[],"[""to purchase bread"", ""to be hungry"", ""none""]",[],"[""the birds to leave her alone"", ""to sit in silence"", ""to keep their money"", ""to save"", ""to act miserly""]",tst,PersonX throws some bread
PersonX does not see PersonY,"[""none"", ""becomes puzzled"", ""gets their name being called""]","[""none"", ""UNHAPPY"", ""SAD"", ""hurt"", ""angry""]","[""none"", ""to find PersonX"", ""to talk to PersonX""]","[""unobservant"", ""distracted"", ""inattentive""]","[""none"", ""gets nervous"", ""becomes scared""]","[""none"", ""to avoid persony"", ""to get somewhere quickly""]","[""none""]","[""sad"", ""missing PersonY"", ""NORMAL"", ""WORRIED"", ""annoyed"", ""lonely""]","[""reports missing"", ""looks for him"", ""to look for PersonY"", ""to find PersonY"", ""to talk to PersonY"", ""search for person's Y"", ""go to person's Y house to search for him""]",tst,PersonX comes to PersonY's eyes
PersonX can't find PersonX's car,"[""none""]",[],"[""none""]","[""unskilled"", ""worried"", ""scared"", ""afraid""]","[""trembles from fear of loosing car"", ""misses work"", ""gets lost"", ""yells in frustration""]",[],"[""none"", ""have a car"", ""forget where the car is parked""]",[],"[""to get some help finding the car"", ""to continue the search"", ""look for the car"", ""find the car""]",tst,PersonX finds PersonX's car
PersonX does not want to play hockey.,"[""none"", ""is turned down for their hockey offer"", ""is waiting to hear back from PersonX""]",[],"[""none""]","[""uninterested"", ""uninspired"", ""lazy"", ""indolent""]","[""none"", ""can't get the hang of ice skating"", ""is offered another sport to try""]",[],"[""to play football"", ""to very tired"", ""none""]",[],"[""to take rest"", ""to eat food"", ""try something new"", ""play a different sport""]",tst,PersonX wants to play hockey
PersonX doesn't know how to use computers.,"[""none""]",[],"[""none""]","[""incompetent"", ""unintelligent"", ""worried"", ""scared""]","[""gets talked to by boss"", ""gets sent to computer training"", ""Becomes obsolete in the working world"", ""has difficulty staying in touch with others""]",[],"[""plan for the buy something"", ""make a work"", ""none""]",[],"[""usage from the computer"", ""make some work well"", ""to master the digital age"", ""to learn how to use a computer""]",tst,PersonX is a web developer
PersonX doesn't cut a swath,"[""none""]","[""none""]","[""none""]","[""boring"", ""lazy"", ""negligent""]","[""relaxes instead"", ""regrets not doing anything"", ""Person X has no grain to sell"", ""Person X's field dies"", ""Person X's field is over run with rodents""]","[""none"", ""to keep it"", ""to prevent ruining it""]","[""to workout"", ""to drink coffee"", ""to growth something over the limit"", ""unaware on grow thing"", ""plan to cut swath"", ""good for his health""]","[""happy"", ""satisfied"", ""compassionate"", ""sentimental"", ""lazy""]","[""to finish the project"", ""to complete the task"", ""cut the swath soon"", ""avoid over grow and spoil"", ""plan for going some place"", ""get some rest""]",tst,PersonX cuts a swath
PersonX can't stand books,"[""none""]",[],"[""none""]","[""illiterate"", ""dull-witted"", ""lazy""]","[""none"", ""arrange the books"", ""make silence""]",[],"[""read books"", ""be unimpressed by books"", ""has trouble reading"", ""had bad reading teachers"", ""got in a horrific accident involving books""]",[],"[""watch movies instead"", ""avoid book"", ""watches tv instead"", ""always says the movie is better than the book"", ""avoids the library"", ""doesn't buy himself books""]",tst,PersonX loves reading books
PersonX doesn't square PersonY's shoulders.,"[""none"", ""Called a sloucher"", ""Told to straighten up""]",[],"[""none""]","[""defeated"", ""unresolved"", ""lazy"", ""unwell""]","[""gets waved away"", ""gets glared at"", ""none""]",[],"[""none""]",[],"[""returns it back"", ""to be angry""]",tst,PersonX squares PersonY's shoulders
PersonX doesn't take it anywhere,"[""none""]",[],"[""none""]","[""cautious"", ""careful"", ""withdrawn"", ""meek""]","[""none"", ""Maintains safely"", ""keep it in a locker""]",[],"[""none""]",[],"[""to bring it somewhere"", ""to put it away""]",tst,PersonX takes it everywhere
PersonX can't remember PersonX's name.,"[""none""]","[""none""]","[""none""]","[""forgetful"", ""absentminded"", ""brain-damaged""]","[""hospitalized"", ""institutionalized"", ""wanders around in a daze"", ""lost and confused""]","[""none"", ""to remember a name""]","[""none"", ""have a tramatic event happen"", ""loose memory""]","[""confused"", ""scared"", ""sad he can't remember his own name"", ""probably afraid since he likely has amnesia"", ""forgetful"", ""stupid"", ""embarrassed""]","[""to consult doctor"", ""to get cured"", ""asks it again"", ""felt good"", ""seek out help"", ""try to remember things""]",tst,PersonX derives PersonX's name
PersonX could not beat it.,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""inexperienced"", ""defeated"", ""tired of trying""]","[""gets defeated"", ""gets last place in the tournament"", ""fails at their task"", ""doesn't make progress""]","[""none""]","[""none"", ""to practice everyday"", ""to work hard"", ""he beat it"", ""continuously""]","[""defeated"", ""sad"", ""Frustrated"", ""Angry"", ""ashamed"", ""like giving up""]","[""to practice well"", ""to learn new"", ""to try it again"", ""to win the game"", ""he dont beat again"", ""now he is happy""]",tst,PersonX beats it
PersonX doesn't follow PersonY's instructions,"[""none"", ""becomes disappointed"", ""gets mad""]",[],"[""none""]","[""unthoughtful"", ""lazy"", ""stubborn"", ""thick""]","[""gets fired"", ""gets yelled at"", ""gets punished"", ""fails the test""]",[],"[""listen to personY"", ""not like the instructions"", ""none""]",[],"[""follow their own instructions"", ""talk to someone else"", ""to be on his own"", ""to be alone""]",tst,PersonX follows PersonY's instructions
PersonX does not ask anyone for help.,"[""none""]","[""none"", ""insulted"", ""sad""]","[""none""]","[""independent"", ""sure of themself"", ""self-reliant""]","[""fails it"", ""feels dumb"", ""drops the box because it's too heavy"", ""sweats a lot""]","[""to feel confident"", ""to feel proud"", ""to avoid troubling anyone"", ""to try to figure it out on their own"", ""to solve a problem alone"", ""to be independent"", ""to figure things out themselves""]","[""none""]","[""happy"", ""content"", ""alone"", ""determined"", ""proud"", ""stressed""]","[""to do everything by his own"", ""to be alone"", ""be ready to help himself"", ""be stong"", ""worked alone"", ""felt great""]",tst,PersonX asks PersonY's dad for help
PersonX doesn't know PersonY.,"[""is unknown"", ""not famous"", ""none""]","[""none"", ""hurt"", ""stressed"", ""upset that Person X doesn't know"", ""obliged to introduce themselves""]","[""to talk to PersonX more"", ""to hang out more with PersonX"", ""none""]","[""forgetful"", ""unobservant"", ""uninvolved"", ""unintroduced""]","[""none"", ""They inquire around about personY"", ""They search the internet to learn about personY""]","[""none"", ""to avoid persony"", ""to be alone""]","[""to talk to PersonY"", ""to ask PersonY to hang out again"", ""see person y"", ""wants to know about person y"", ""none""]","[""like nothing ever happened"", ""completely keeps going about their day"", ""sad"", ""lonely"", ""confused"", ""interested in meeting""]","[""to talk to PersonY more"", ""to reflect on their time with PersonY"", ""talk to person y"", ""be friends to person y"", ""whoever tack gently and kind"", ""be friendly with others"", ""may try to know about person y"", ""be friendly with him""]",tst,PersonX breaks up with PersonY
PersonX cannot travel,"[""none""]",[],"[""none""]","[""unlucky"", ""unfortunate"", ""limited"", ""stationary""]","[""they are quarantined"", ""they miss out on a trip"", ""is restless"", ""is longing""]",[],"[""none""]",[],"[""stay home"", ""get out of the house"", ""to be negative"", ""to be forgetful""]",tst,PersonX plans PersonX's trip
PersonX did not invite PersonY over,"[""looses out on getting to see friends"", ""looses faith in person x as a friend"", ""none""]",[],"[""an explanation"", ""another companion"", ""none""]","[""solitary"", ""unfriendly"", ""in the mood to be alone"", ""peopled out""]","[""none""]",[],"[""none""]",[],"[""to stay alone"", ""to avoid socializing"", ""spend the evening alone"", ""read a book""]",tst,PersonX invites PersonY over
PersonX did not have any time to think.,"[""are better off than x"", ""defeat x"", ""none""]",[],"[""none""]","[""rushed"", ""anxious"", ""undeceive""]","[""they are startled"", ""they make a rash decision"", ""decides impulsively"", ""misses the opportunity""]",[],"[""none"", ""to do lot of work"", ""to be a good worker""]",[],"[""to get their bearings"", ""to react to the situation"", ""to have job"", ""to work full time""]",tst,PersonX thinks a lot
PersonX doesn't have to go to a new school,"[""none""]",[],"[""none""]","[""happy"", ""thrilled"", ""releived"", ""excited to see their friends""]","[""can pursue his study here"", ""can stay in same city"", ""person x wants to be in his old school"", ""person x's father transfer to new place"", ""person x leaves his hometown"", ""person x enters into new apartment""]",[],"[""to be attending a school"", ""for their school to continue being open"", ""none""]",[],"[""to continue attending their current school"", ""to graduate"", ""to celebrate"", ""to see his old friends at his old school""]",tst,PersonX has to go to a new school
PersonX does not think about anything.,"[""none""]",[],"[""none""]","[""empty-headed"", ""impetuous"", ""unimaginative"", ""simple-minded""]","[""none"", ""forgets something"", ""loses something""]",[],"[""none""]",[],"[""to think about something"", ""find something to think about""]",tst,PersonX thinks would become
PersonX doesn't file a report,"[""none""]",[],"[""none""]","[""negligent"", ""remiss"", ""forgetful"", ""unintelligent""]","[""Caught by police"", ""Forced to testify"", ""Personx work gets delayed"", ""Personx starts being stressed""]",[],"[""forgets about to fill report"", ""messes up"", ""none"", ""be ordered to do a report"", ""not complete the report""]",[],"[""forget about it"", ""ask someone else to file it"", ""prepare for the consequences of not filing the report"", ""to move on to another task"", ""to call in sick the next day"", ""to avoid their boss""]",tst,PersonX files a report
PersonX doesn't camp with PersonX's family,"[""none""]","[""unloved"", ""unwanted"", ""none""]","[""none"", ""go camping"", ""PersonX to go camping with them""]","[""afraid of nature"", ""not a fan of the out doors"", ""unfriendly"", ""independent""]","[""becomes lost from being alone"", ""stresses about having to fend for self"", ""gets his family to tell him to hang out"", ""grows distant from his family""]","[""to be alone"", ""to be in silence"", ""to stay home"", ""to be somewhere else"", ""none""]","[""to go for camping"", ""to travel a lot"", ""none"", ""to be asked to go camping"", ""to have a family""]","[""lonely"", ""isolated"", ""sad"", ""upset"", ""happy"", ""excited""]","[""to stay alone"", ""to take a bath"", ""leave the person y home"", ""move on"", ""to not go camping"", ""to stay home""]",tst,PersonX camps with PersonX's family
PersonX does not retaliate.,"[""none""]",[],"[""to avoid PersonX"", ""protect themselves from PersonX"", ""to remain unscathed"", ""to skate by without any repercussions"", ""none""]","[""pacifist"", ""cowardly"", ""caring"", ""peaceful""]","[""gets beat up"", ""gets knocked out"", ""Hit by their enemy"", ""Knocked out cold""]",[],"[""control his temper"", ""physically distance himself from the situation"", ""to think how he was wronged"", ""decide whether to retaliate"", ""none"", ""to do another thing"", ""to do handle very calm""]",[],"[""talk to a friend"", ""find another way to get back at the person"", ""to calm down"", ""forget and forgive"", ""retaliate after"", ""leave the place"", ""to manage the situation in peaceful"", ""to forgive everyone""]",tst,PersonX shoves PersonY back
PersonX couldn't catch PersonY.,"[""sweats"", ""loses breath"", ""breathes heavily"", ""gets a stich in their side""]","[""happy"", ""relieved"", ""none"", ""strong"", ""free"", ""powerful"", ""strong"", ""free"", ""powerful""]","[""to declare themselves a winner"", ""continue running further away from PersonX"", ""to celebrate"", ""to feel powerful"", ""to continue leaving"", ""to continue getting further from PersonX"", ""none""]","[""out of shape"", ""slow"", ""uncoordinated""]","[""slumps over"", ""breathes deeply"", ""gets out of breath"", ""trips and falls""]","[""none""]","[""chase personY"", ""have seen PersonY"", ""to run"", ""to speed up"", ""to be following PersonY"", ""to be slower than PersonY"", ""none"", ""they chass the person"", ""they run""]","[""frustrated"", ""upset"", ""like a failure"", ""defeated"", ""powerless"", ""exhausted"", ""out of shape"", ""powerless"", ""exhausted"", ""out of shape""]","[""continue trying to catch up to PersonY"", ""call it quits and stop chasing after PersonY"", ""to run faster"", ""to call the police"", ""to get away from PersonX"", ""to keep moving further away"", ""did not believe y"", ""fight between the person"", ""be confidence"", ""chases in very hard""]",tst,PersonX busts PersonY
