event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX hardly ever sees PersonY,"[""none""]","[""abandoned"", ""fatherless"", ""sad"", ""forgotten""]","[""to call PersonX"", ""to get out more often"", ""none""]","[""busy"", ""preoccupied"", ""uncaring""]","[""none"", ""cries"", ""thinks of calling Y""]","[""to be a bachelor"", ""to be childfree"", ""none""]","[""none"", ""to do lots of work"", ""to finish the project""]","[""wild"", ""carefree"", ""far away"", ""abandoned""]","[""to call PersonY"", ""to move closer"", ""to meet friends"", ""to have dinner""]",trn,PersonX visits PersonY often,hardly ever,multi_word
PersonX never helps PersonY.,"[""none""]","[""none""]","[""help"", ""to hang out with PersonX"", ""none""]","[""selfish"", ""unhelpful"", ""unthoughtful"", ""lazy""]","[""Scolded by personY"", ""Kicked out of friend group"", ""none""]","[""none""]","[""none""]","[""selfish"", ""mean""]","[""to other things"", ""to not be around PersonY"", ""avoid y"", ""be a better person""]",trn,PersonX helps PersonY in ways,never,single_word
PersonX is unable to influence PersonY's ways,"[""none""]","[""none""]","[""to be independant"", ""to listen to their heart"", ""to leave personx"", ""to walk away""]","[""small"", ""unconvincing"", ""not pushy"", ""passive""]","[""Yelled at by principal"", ""Told to find another teaching job"", ""none""]","[""to give up"", ""to leave them alone"", ""none""]","[""none""]","[""failure"", ""down"", ""uncharismatic"", ""unpopular""]","[""to be more confident"", ""read a self help book"", ""to hit persony"", ""to punish persony""]",trn,PersonX changes PersonY's ways,unable,affixes_adj
PersonX avoiding hide and seek.,"[""none""]","[""none""]","[""none""]","[""unplayful"", ""annoyed"", ""grumpy"", ""irritated"", ""busy""]","[""none"", ""falls asleep"", ""gets awaken""]","[""none"", ""not to play games"", ""to be serious""]","[""none""]","[""bored"", ""tired"", ""boring"", ""serious""]","[""relax"", ""watch a movie"", ""play another game"", ""spend time alone""]",trn,PersonX is playing hide and seek,avoid,verb
PersonX avoids PersonY's friends,"[""none""]","[""none""]","[""none"", ""to ask whats wrong"", ""an apology""]","[""distant"", ""reserved"", ""aloof"", ""cold"", ""reclusive""]","[""none""]","[""to stay away from bullies"", ""to annoy Persony"", ""none""]","[""none""]","[""worried"", ""anxious"", ""rude"", ""alone""]","[""to be left alone"", ""to relax at home"", ""nothing to do with them"", ""to be alone""]",trn,PersonX visits PersonY's friends,avoid,verb
PersonX denies PersonY outlet,"[""talks to someone else"", ""gossips about the situation"", ""none""]","[""frustrated"", ""angry"", ""none""]","[""none"", ""to argue with PersonY"", ""to beg""]","[""rude"", ""uncaring"", ""censorious"", ""egotistic""]","[""none""]","[""revenge"", ""to get a better approval rating"", ""none""]","[""none""]","[""powerful"", ""better than person y"", ""mean"", ""selfish""]","[""to be clean"", ""to be good"", ""to say rude things to PersonY"", ""to turn their back""]",trn,PersonX provides PersonY outlet,deny,verb
PersonX cuts no hair,"[""none""]","[""none""]","[""none""]","[""unfocused"", ""lazy"", ""incapable""]","[""none"", ""hair grows long"", ""gets told to get a haircut""]","[""none""]","[""none""]","[""bushy"", ""unkempt"", ""untidy"", ""unkempt""]","[""to cut hair"", ""to not touch people"", ""find a job"", ""learn to cut hair""]",trn,PersonX cuts PersonY's hair,no,single_word
PersonX dislikes PersonY's food,"[""none""]","[""none""]","[""to try again"", ""prove PersonX wrong"", ""none""]","[""honest"", ""picky"", ""choosy"", ""selective"", ""particular""]","[""none""]","[""none""]","[""try persony's food"", ""to eat some food"", ""to get food"", ""to ask food from person y""]","[""disinterested"", ""disgusted"", ""bad"", ""guilty""]","[""spit out food"", ""tell PersonY"", ""to reject the food"", ""to buy good food""]",trn,PersonX enjoys PersonY's food,dislike,affixes_verb
PersonX discourages PersonY.,"[""none"", ""loses courage"", ""gets taught""]","[""unhappy"", ""helpless"", ""none""]","[""to ignore x"", ""to give up"", ""to fight personx"", ""to challenge personx""]","[""depressing"", ""negative"", ""a bully"", ""a bad friend""]","[""none"", ""gets confronted"", ""is listened to""]","[""persony to fail"", ""persony to be unsuccessful"", ""none""]","[""to see y upset"", ""to not know what to say"", ""none""]","[""evil"", ""mean"", ""annoyed"", ""unsupported""]","[""to make y stop"", ""to hurt y's confidence"", ""to beat persony"", ""to compete""]",trn,PersonX gives PersonY the support,discourage,affixes_verb
PersonX avoids tricks.,"[""none""]","[""none"", ""appreciated"", ""they are being told the truth""]","[""none""]","[""slick"", ""skilled"", ""careful"", ""watchful"", ""observant""]","[""none""]","[""none"", ""to maintain honesty"", ""to play it straight""]","[""none""]","[""safe"", ""secure"", ""trustworthy"", ""righteous""]","[""to make sure they are not fooled"", ""to be able to trust others"", ""live a simple life"", ""be alone""]",trn,PersonX plays tricks,avoid,verb
PersonX disowns PersonY's cousin,"[""they lose a home"", ""none""]","[""none""]","[""apologize to PErsonX"", ""try to repair the damage"", ""none""]","[""mean"", ""has a good reason"", ""unrelenting"", ""strict""]","[""none""]","[""none""]","[""to know PersonY's cousin"", ""to be offended by the cousin"", ""none""]","[""sad"", ""lonely"", ""heartless"", ""careless""]","[""to apologize to PersonY"", ""to move one with life"", ""to be alone"", ""to hate the cousin""]",trn,PersonX marries PersonY's cousin,disown,affixes_verb
PersonX unwinds the cord,"[""none""]","[""none""]","[""none""]","[""skilled"", ""proficient"", ""hands on"", ""working""]","[""none""]","[""to use the cord"", ""gain more length"", ""to plug in the cord""]","[""pick the cord"", ""observe the tangle"", ""none""]","[""like they have more options"", ""ready to use the cords"", ""useful"", ""accomplished""]","[""untangle"", ""lengthen"", ""put things away"", ""finish up""]",trn,PersonX cuts the cord,unwind,affixes_verb
PersonX overcooks spaghetti.,"[""none""]","[""none""]","[""none""]","[""useless"", ""hopeless"", ""incompetent"", ""untalented"", ""careless""]","[""cringes at burnt food"", ""cries from frustration"", ""drools"", ""spends resources""]","[""none""]","[""none""]","[""annoyed"", ""disappointment"", ""frustrated"", ""silly"", ""forgetful""]","[""to be sorry"", ""to do good"", ""to eat them"", ""to throw them out""]",trn,PersonX makes spaghetti,overcook,affixes_verb
Person X avoids Person Y's friends.,"[""none""]","[""disappointed"", ""upset"", ""offended"", ""angry""]","[""question personx"", ""avoid personx"", ""shun PersonX"", ""complain to PersonY""]","[""nervous"", ""introverted"", ""Introverted"", ""Hateful""]","[""none""]","[""to be alone"", ""to spite Person Y"", ""angry"", ""shy""]","[""none"", ""to know PersonY's acquaintances"", ""to dislike PersonY's acquaintances""]","[""antisocial"", ""unfriendly"", ""suspicious"", ""isolated""]","[""to avoid conflict"", ""to keep to themselves"", ""keep avoiding PersonY's acquaintances"", ""apologize to PersonY for being rude""]",trn,PersonX hangs out with PersonY's friends,avoid,verb
PersonX refuses to compromise with PersonY,"[""Y is disappointed"", ""is annoyed"", ""none""]","[""determined"", ""annoyed"", ""frustrated"", ""irritated"", ""disappointed""]","[""none"", ""to argue with person x"", ""cry because of person x stuborness""]","[""stubborn"", ""rude"", ""rigid"", ""mean""]","[""none""]","[""to have their own way"", ""be difficult"", ""to get their way"", ""to win""]","[""none""]","[""stubborn"", ""determined"", ""victorious"", ""selfish"", ""guilty""]","[""to go home"", ""the key of the home"", ""to leave person y alone"", ""to kick out person y""]",trn,PersonX meets PersonY halfway,refuse,verb
PersonX avoids PersonY's gestures,"[""angry"", ""annoyed"", ""none""]","[""none""]","[""to confront personx"", ""to assault personx"", ""none""]","[""shy"", ""reclusive"", ""anti social"", ""avoiding""]","[""none""]","[""none""]","[""none"", ""to be around PersonY"", ""to evade PersonY""]","[""shy"", ""uneasy"", ""timid""]","[""to avoid conflict"", ""to keep to themselves"", ""to keep evading PersonY"", ""to run away from Persony""]",trn,PersonX hugs PersonY back,avoid,verb
PersonX disavows the real estate deed.,"[""none""]","[""shocked"", ""upset"", ""none""]","[""none""]","[""disingenuous"", ""unscrupulous"", ""angry"", ""mad""]","[""none""]","[""to be free"", ""to avoid obligation"", ""to end a transaction"", ""to save money""]","[""none"", ""be aware of the deed"", ""go over the deed""]","[""stubborn"", ""determined"", ""relieved"", ""satisfied""]","[""follow real estate tricks"", ""like real estate"", ""explain the problem"", ""get a new deed""]",trn,PersonX signs the real estate deed,disavow,affixes_verb
PersonX stops PersonY from studying,"[""loses study time"", ""is not prepared for test"", ""to get a bad grade"", ""to get distracted""]","[""annoyed"", ""angry"", ""resentful"", ""distracted""]","[""to complain to personX that they can't stop"", ""to tell personX that they'd better have a good reason for interrupting them"", ""to study"", ""to be able to focus""]","[""inconsiderate"", ""annoying"", ""rude"", ""selfish""]","[""get to hangout with person"", ""spend time with person"", ""to get scolded"", ""to get sent away""]","[""to do something with PersonY"", ""to ruin PersonY's grades"", ""to get the attention of Y"", ""to ask Y something""]","[""to see what personY is doing"", ""to not want personY to continue what they're doing"", ""to approach persony"", ""to try to laugh""]","[""shameful"", ""irritated"", ""regretful"", ""like they are interrupting""]","[""to suggest something fun they can do"", ""to tell personY they think they need to take a little break"", ""to get some attention"", ""to make sure they are distracting""]",trn,PersonX helps PersonY's study,stop,verb
PersonX makes no noise,"[""none""]","[""none""]","[""none""]","[""silent"", ""quiet"", ""imperceptible"", ""bashful"", ""aloof""]","[""none""]","[""to remain unseen"", ""to remain unnoticed"", ""none""]","[""none""]","[""secretive"", ""quiet"", ""quite"", ""bored""]","[""to go unnoticed"", ""to be left alone"", ""go to sleep"", ""wake up""]",trn,PersonX makes a lot of noise,no,single_word
PersonX fails to impress PersonY.,"[""none""]","[""annoyed"", ""frustrated"", ""none""]","[""to avoid x"", ""to leave the area"", ""none""]","[""tired"", ""depressed"", ""mediocre"", ""unmemorable""]","[""none""]","[""none""]","[""approach Y"", ""try to get the attention of Y"", ""none""]","[""defeated"", ""embarrassed for trying"", ""rejected"", ""unattractive"", ""unpopular""]","[""continue to get y to notice them"", ""find out why Y doesn't like them"", ""to try and make y happy"", ""to be friendly to y""]",trn,PersonX sweeps PersonY away,fail,verb
PersonX intentionally avoids and ignores PersonY,"[""none"", ""sees personx less"", ""grows distant to personx""]","[""none"", ""unwanted"", ""disliked""]","[""none"", ""to chase after person X"", ""to berate person X""]","[""mean"", ""antisocial"", ""Busy"", ""Occupied""]","[""leaves"", ""stays away"", ""becomes distant from persony"", ""is given a cold reception by persony""]","[""none"", ""to keep them away"", ""to indicate their displeasure""]","[""to attend a meeting"", ""to prepare to talk"", ""to see person Y"", ""to react to person Y""]","[""disinterested"", ""sad"", ""like they made their displeasure known"", ""satisfied""]","[""to wash the car"", ""to watch a movie"", ""to calm down"", ""to get away""]",trn,PersonX goes to see PersonY,avoid,verb
PersonX invites a few people.,"[""they're invited"", ""none""]","[""none""]","[""to respond"", ""to decide whether to attend"", ""thank PersonX for inviting them"", ""have a great time at the gathering""]","[""outgoing"", ""extroverted"", ""friednly"", ""well known""]","[""none"", ""Thanked for the invite"", ""Forced to buy food for party""]","[""none""]","[""to plan an event"", ""to reach out to their friends"", ""to come up with a list of invitees"", ""decide who to invite"", ""plan activities for everyone""]","[""mean"", ""generous"", ""unsure"", ""nervous""]","[""to prepare for the event"", ""to purchase supplies"", ""to get ready"", ""enjoy the guests that arrived"", ""clean up afterward""]",trn,PersonX invites everyone,few,single_word
PersonX disowns PersonX's mom,"[""none"", ""they have to bury their mom""]","[""none"", ""depressed"", ""crushed""]","[""none""]","[""angry"", ""uncaring"", ""confident"", ""unafraid""]","[""Scolded by mother"", ""Forced back into the house"", ""they're arrested"", ""they're sent to prison""]","[""none"", ""to punish person x's mom"", ""to move on with his life""]","[""none""]","[""sad"", ""rejected"", ""spiteful""]","[""to tell mom that they need to get better"", ""to spend time with someone other than mother"", ""to buy new bike"", ""to hate his mother""]",trn,PersonX loves PersonX's mom,disown,affixes_verb
PersonX fails to invite PersonY's friends and family.,"[""are puzzled"", ""are resentful"", ""none""]","[""none"", ""left out"", ""secluded""]","[""question personx"", ""confront personx"", ""none""]","[""careless"", ""forgetful"", ""aloof""]","[""is shunned"", ""is berated"", ""none""]","[""none""]","[""none""]","[""rude"", ""unwelcoming"", ""sorry"", ""embarassed"", ""forgetful""]","[""to blow off their family"", ""avoid their family"", ""to ask sorry to PersonY"", ""to convince PersonY""]",trn,PersonX invites all PersonY's friends and family,fail,verb
PersonX refuses to give PersonY evidence,"[""none""]","[""sad"", ""annoyed"", ""distraught"", ""impeded""]","[""to perform water torture"", ""to kill personx"", ""force them to provide information"", ""take the matter to a higher level""]","[""loyal to accomplices"", ""obstructive"", ""stubborn"", ""obstinate""]","[""none"", ""punish"", ""say sorry""]","[""to ignore PersonY"", ""to be left alone"", ""to obstruct justice"", ""to protect someone""]","[""none"", ""find useful information"", ""keep information to themselves""]","[""guilty"", ""ashamed"", ""concerned"", ""worried""]","[""to mess up the investigation"", ""to conceal evidence"", ""explain situation"", ""avoid personY""]",trn,PersonX gives PersonY evidence,refuse,verb
