event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX kisses PersonY on the face.,trn,"[""loving"", ""creepy"", ""affectionate"", ""unprofessional""]","[""none"", ""closes eyes"", ""opens lips slightly""]","[""PersonY receives a kiss"", ""PersonY kisses PersonX back"", ""blushes"", ""smiles""]","[""affectionate"", ""loved"", ""excited"", ""hopeful""]","[""none"", ""loving"", ""thrilled""]","[""have the affection returned"", ""be kissed back"", ""to seduce persony"", ""to sleep with persony""]","[""kiss them back"", ""avoid personX"", ""to kiss them back"", ""to embrace personx""]","[""none"", ""to have sex"", ""to get a partner""]","[""decide to kiss personY"", ""approach personY"", ""none""]",PersonX hits PersonY in the face
PersonX falls out of touch with PersonY,trn,"[""aloof"", ""unresponsive"", ""lazy"", ""caught up in his own world""]","[""none"", ""needs new friends"", ""has nobody to hang out with""]","[""none"", ""is alone"", ""has nothing to do""]","[""lonely"", ""regretful"", ""sad"", ""guilty""]","[""like htey have moved on"", ""regretful"", ""hurt"", ""annoyed""]","[""to find a way to contact PersonY"", ""to reconnect with the person"", ""to look for their address"", ""to call persony""]","[""none"", ""to reach out to personx"", ""to comfort personx""]","[""none""]","[""none""]",PersonX maintains PersonY relationship
PersonX ignores PersonY's cry.,trn,"[""mean"", ""uncaring"", ""cold""]","[""focuses"", ""covers ears"", ""none""]","[""gets hurt"", ""has no help"", ""none""]","[""indifferent"", ""avenged"", ""uncaring"", ""mean""]","[""angry"", ""helpless"", ""none""]","[""to harm persony"", ""to let persony die"", ""to leave PersonY alone"", ""to move away""]","[""to climb up the cliff"", ""to escape"", ""to cry more"", ""to dry their tears""]","[""them to suffer"", ""them to die"", ""none""]","[""none"", ""to hear PersonY cry"", ""to be near PersonY""]",PersonX hears PersonY's cry
PersonX studies with PersonY.,trn,"[""studious"", ""sociable"", ""cooperative""]","[""learns"", ""gets knowledge"", ""passes exams"", ""gets to know y better""]","[""learns"", ""get information"", ""none""]","[""responsible"", ""hardworking"", ""intelligent"", ""horny""]","[""cheerful"", ""responsible"", ""wanted"", ""needed""]","[""to gain knowledge"", ""to pass"", ""to be a doctor"", ""to excel like Y""]","[""none""]","[""to get a good grade"", ""to spend time with person y"", ""to get a good exam score"", ""to get into personY's pants""]","[""none""]",PersonX plays with PersonY
PersonX forgets to tell PersonY.,trn,"[""self-centered"", ""deceitful"", ""forgetful"", ""absentminded""]","[""none""]","[""none""]","[""embarrassed"", ""forgetful"", ""bad"", ""foolish"", ""worried about PersonY's safety""]","[""annoyed"", ""blindsided"", ""obvlious"", ""unaware""]","[""to remind them"", ""to ask for forgiveness"", ""to convince PersonY"", ""to ask sorry to personY""]","[""none""]","[""none""]","[""none""]",PersonX gives PersonY indication
PersonX rejects PersonY's advances,trn,"[""stubborn"", ""rude"", ""aloof"", ""hard to please""]","[""none""]","[""none"", ""gets sad"", ""gets declined""]","[""lonely"", ""unsatisfied"", ""careful"", ""responsible""]","[""none""]","[""walk away from person Y"", ""find a friend for safety"", ""to find a new partner"", ""to flirt with someone else""]","[""yell at X for turning them down"", ""find someone else to hit on"", ""to avoid personX"", ""to advance on someone else""]","[""to be alone"", ""to stay alone"", ""none""]","[""none""]",PersonX draws PersonY close
PersonX gets divorced from PersonY,trn,"[""unhappy"", ""daring"", ""sad"", ""happy""]","[""no longer married to persony"", ""is single"", ""they get alimony"", ""they get child support""]","[""is single"", ""no longer married to personx"", ""they get alimoney"", ""they get child support""]","[""sad"", ""unhappy"", ""lucky"", ""lonely""]","[""none""]","[""to ask favor to PersonY"", ""try to convince PersonY"", ""to be done with the drama"", ""to move on with life""]","[""none"", ""closure"", ""freedom to move on""]","[""none""]","[""none"", ""to have been married to Persony"", ""be unhappy with PersonY""]",PersonX gets married in PersonY
PersonX always uses clean language,trn,"[""polite"", ""civilized"", ""cautious"", ""skilled""]","[""none"", ""they are respected"", ""they are complimented""]","[""none""]","[""satisfied"", ""calm"", ""good"", ""clean""]","[""none""]","[""treat people with respect"", ""make friends"", ""to speak good"", ""to become a good speaker""]","[""none""]","[""none""]","[""none"", ""to learn a lot"", ""to get good marks""]",PersonX drops the f-bomb
PersonX walks there,trn,"[""physcial"", ""fit"", ""energetic"", ""adventurous""]","[""none"", ""heart rate increases"", ""sweats""]","[""none""]","[""happy"", ""tired"", ""rested"", ""fun""]","[""none""]","[""to sit down"", ""to take a rest"", ""arrive on time"", ""explore the place""]","[""none""]","[""none""]","[""none"", ""be able to walk"", ""have somewhere to walk to""]",PersonX drives PersonX there
PersonX likes to keep moving.,trn,"[""active"", ""healthy"", ""impatient"", ""restless""]","[""none"", ""goes on a run"", ""goes for a walk""]","[""none""]","[""motivated"", ""happy""]","[""none""]","[""break ties"", ""look for the next adventure"", ""to cool down"", ""to rest""]","[""none""]","[""none"", ""to be loose some weight"", ""to be athletic""]","[""none""]",PersonX always stayed
PersonX covers PersonY's identity,trn,"[""helpful"", ""secretive"", ""quiet"", ""caring""]","[""becomes nervous"", ""sweats"", ""none""]","[""sweats"", ""body starts shaking"", ""none""]","[""secreative"", ""dependable"", ""satisfied"", ""confident""]","[""none""]","[""to find money"", ""to flew away""]","[""none""]","[""none""]","[""to help person y"", ""to hide person y"", ""none""]",PersonX blows PersonY's cover
PersonX puts PersonY's head down.,trn,"[""controlling"", ""pushy"", ""commanding"", ""powerful""]","[""none"", ""Pushed back by personY"", ""Has restraining order set against them""]","[""none""]","[""caring"", ""loving"", ""happy"", ""accomplished""]","[""grateful"", ""obligated"", ""none""]","[""to be heard"", ""to prevent y from speaking"", ""to pray"", ""to cry""]","[""none""]","[""to help Y"", ""show they care for Y"", ""none""]","[""none""]",PersonX lifts PersonY's head
PersonX makes trouble for other people.,trn,"[""evil"", ""rude"", ""mischevious"", ""cruel"", ""mean"", ""selfish""]","[""Scolded by professor"", ""Put into detention"", ""gets questioned by the police"", ""issued a restraining order""]","[""none"", ""frightened"", ""scared""]","[""sad"", ""bad"", ""content"", ""happiness""]","[""none"", ""annoyed"", ""frustration""]","[""stay away"", ""be a better person"", ""to stir a fight"", ""to teach them a lesson""]","[""none""]","[""none"", ""to annoy people"", ""to be aggravating""]","[""none""]",PersonX helps other people
PersonX hates PersonY,trn,"[""vindictive"", ""intolerant"", ""evil"", ""resentful"", ""filled with malice"", ""unfortunate"", ""unsettled"", ""tortured"", ""opinionated"", ""angry"", ""violent"", ""cold"", ""hateful""]","[""their brow furls"", ""their fists become clenched"", ""fought with"", ""yelled at"", ""is approached"", ""gets confronted"", ""blood pressure increases"", ""teeth grind involuntarily"", ""is upset"", ""goes to find a new friend"", ""none""]","[""none"", ""fought with"", ""yelled at"", ""gets avoided"", ""is yelled at""]","[""resentment"", ""aggression"", ""unhappy"", ""mean"", ""sad"", ""annoyed"", ""angry"", ""sorry""]","[""lowly"", ""ashamed"", ""none""]","[""to break the friendship"", ""to find new friend"", ""to avoid Y"", ""to confront Y"", ""PersonY to die"", ""bad things to happen to persony"", ""to be alone"", ""to stay home"", ""to never see personY again"", ""persony to know it"", ""to express their feelings""]","[""none"", ""to avoid X"", ""to change x's mind""]","[""none""]","[""to fight with person y"", ""to scold person y"", ""to have a conflict with Y"", ""To learn about Y"", ""none""]",PersonX adores PersonY
PersonX would preaches PersonY,trn,"[""intelligent"", ""wise"", ""righteous"", ""faithful""]","[""gets ignored"", ""gets yelled at"", ""none""]","[""smiles"", ""gets ignored"", ""a"", ""c""]","[""happy"", ""wise"", ""authoritative"", ""powerful""]","[""content"", ""grateful"", ""annoyed"", ""angry""]","[""to force his religion on someone"", ""to be a zealot"", ""to invite PersonY to church"", ""to go to the next house""]","[""to get away"", ""to ignore personx"", ""to lock their door"", ""to go to church""]","[""to spread knowledge"", ""to support PersonY"", ""to look important"", ""to be a leader""]","[""to get a bible"", ""to learn about god"", ""to open their bible"", ""to knock on the door""]",PersonX would teach PersonY
PersonX records a speech,trn,"[""motivated"", ""focused"", ""prepared"", ""knowledgeable""]","[""Praised by the crowd"", ""Begged for an encore"", ""none""]","[""none""]","[""happy"", ""excited"", ""satisfied""]","[""none""]","[""to share it with others"", ""to become better known"", ""to study hard"", ""to study extra time""]","[""to hear the speech"", ""to save the speech for later"", ""none""]","[""none""]","[""get recording equipment"", ""plan the speech"", ""to check the recorder"", ""to speak loudly""]",PersonX gives a speech
PersonX takes their wife,trn,"[""accommodating"", ""caring"", ""sympathetic""]","[""none"", ""is given affection"", ""is given thanks""]","[""none"", ""expresses affection toward x"", ""smiles""]","[""loving"", ""caring"", ""romantic"", ""excited""]","[""none"", ""loved"", ""happy""]","[""to eat out"", ""to go on a date"", ""to be nice"", ""to be loving""]","[""to have fun"", ""to enjoy their spouse"", ""none""]","[""none"", ""to be romantic"", ""to be nice""]","[""to have plans"", ""to get their wife"", ""none""]",PersonX gives PersonX's wife
PersonX shoots up their school,trn,"[""depraved"", ""wicked"", ""sinful"", ""barbaric"", ""homicidal""]","[""gets arrested"", ""gets jailed"", ""they're killed by police"", ""they're arrested""]","[""dies"", ""gets injured"", ""they're injured"", ""they die""]","[""revengful"", ""annoyed"", ""superior"", ""frustrated""]","[""none"", ""afraid"", ""panicked""]","[""to die"", ""to kill everyone"", ""to yell at the police"", ""to reload""]","[""none"", ""to run in terror"", ""to escape""]","[""to be violent"", ""to be a menace"", ""to kill others"", ""to release anger""]","[""none"", ""to buy a gun"", ""to purchase ammo""]",PersonX writes an essay for class
PersonX whispers my name,trn,"[""coy"", ""shy"", ""talkative"", ""friendly""]","[""smiles"", ""smirks"", ""none""]","[""none""]","[""enjoyment"", ""nervous"", ""happy"", ""loving""]","[""none""]","[""to get my attention"", ""say something important"", ""to be intimate"", ""to be quiet""]","[""to look at them"", ""ask whats up"", ""none""]","[""none""]","[""none""]",PersonX calls my name
PersonY tells PersonX to relax,trn,"[""calm"", ""authoritative"", ""anxious"", ""high-strung""]","[""gets yelled at"", ""gets screamed at"", ""none""]","[""yells"", ""screams"", ""none""]","[""excited"", ""satisfied"", ""nervous"", ""irritated""]","[""none"", ""caring"", ""irritated""]","[""to help X"", ""to make sure X is ok"", ""to calm down"", ""to snap at PersonY""]","[""to relax"", ""to feel better"", ""to monitor PersonX"", ""to give more advice""]","[""to be admired"", ""everyone to be happy"", ""none""]","[""to get close to X"", ""to feel bad for X"", ""to start an activity"", ""to develop stress""]",PersonX tells PersonY to relax
PersonX saves some time with PersonY,trn,"[""happy"", ""joyful"", ""thoughtful"", ""efficient""]","[""frees up time to relax"", ""loses some stress"", ""none""]","[""none""]","[""relaxed"", ""friendly"", ""caring"", ""understanding""]","[""grateful"", ""cooperative"", ""none""]","[""to get a new project started"", ""to relax for a few minutes"", ""to be together"", ""have a fun time""]","[""to rest"", ""to get started on something new"", ""to thank personx"", ""to feel special""]","[""to get something done quickly"", ""to spend time with PersonY"", ""none""]","[""to make new plans"", ""to talk to PersonY"", ""none""]",PersonX spends some time with PersonY
PersonX neglects PersonY's pantry,trn,"[""thoughless"", ""unorganized"", ""irresponsible"", ""selfish""]","[""none"", ""gets asked to buy food"", ""gets yelled at""]","[""PersonY is disappointed in personX"", ""PersonY notices personX neglecting the pantry"", ""does not have enough food"", ""gets asked what to buy""]","[""justified"", ""conservative"", ""like abandoning personY"", ""like they're tired of babysitting personY""]","[""ignored"", ""neglected"", ""helpless"", ""confused""]","[""to clean out"", ""to go shopping"", ""go shopping"", ""make a list""]","[""none"", ""fill it up"", ""make a list"", ""go shopping""]","[""to put food in their own family"", ""to be uninvolved"", ""personY to stock their own pantry"", ""personY to start being responsible""]","[""none""]",PersonX searches PersonY's pantry
PersonX stays with PersonY indefinitely,trn,"[""foolish"", ""blinded"", ""attached"", ""committed""]","[""feels a warming feeling overcoming them"", ""smiles"", ""none""]","[""smiles"", ""grows closer to personx"", ""none""]","[""loved"", ""cared for"", ""loyal"", ""devoted""]","[""none"", ""grateful"", ""loyal""]","[""try to friendly with y"", ""be happy together"", ""to be with them forever"", ""have a happy life""]","[""none""]","[""none"", ""to fulfill a long lasting relationship"", ""to care for PersonY""]","[""none""]",PersonX leaves PersonY soon
